response_ID;Stadsdeel;Contact_gehad;freqcontact;Categorie_contact;Totstand;polben_Controlestraat;polben_Controleverkeer;polben_Verkeerdstraat;polben_Verkeerdverkeer;polben_Praatje;polben_Anders;polben_geenantwoord;Polben_hulp;Polben_thuis;Polben_uiterlijk;Polben_overig;Polben_bevragen;Polben_verdacht;Polben_locatie;Polben_aansprekenvriend;Polben_informatiegeven;Polben_teruggeven;Polben_verkeersongeval;Polben_arrestatie;stel_terecht;Onterecht_niksverkeerd;Onterecht_etniciteit;Onterecht_onschuldig;Onterecht_niksverkeerdverkeer;Onterecht_nietenige;Onterecht_Overig;Onterecht_onterecht;Onterecht_onduidelijk;Onterecht_overlast;Onterecht_nietingevuld;Onterecht_onbeleefdagent;stel_achtergrond;polben_gevolg_niets;polben_gevolg_waarschuwing;polben_gevolg_arrestatie;polben_gevolg_bekeuring;polben_gevolg_anders;polben_gevolg_nvt;polben_gevolg_geenantwoord;polben_gevolg_praatjemaken;polben_gevolg_controle;polben_gevolg_info;polben_gevolg_weggerend;polben_gevolg_staande;polben_gevolg_beslag;pobent_gevolg_overig;pobent_gevolg_hulp;waarom_zelfben;stel_beleefd;stel_luisteren;stel_rechtvaardig;rapportcijfer;Geslacht;Leeftijd;Leeftijdscategorie;Herkomst_def;opleidingnu_nee;opleidingnu_LBO_VMBO;opleidingnu_MAVO_VMBO_ULO_MULO;opleidingnu_HAVO_VWO_HBS_MMS;opleidingnu_MBO_BOL_BBL;opleidingnu_HBO;opleidingnu_WO;opleidingnu_anders;opleidingnu_nietzeggen;opleidingnu_geenantwoord;hoogstafgerond;stel_rondkomen
50329967;7;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;1;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;4;4;7;1;21;2,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;4;5
50619445;4;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;3;4;8;2;21;2,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;6;5
50622196;5;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;8;1;21;2,00;4,00;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;4;5
50516399;2;1;3;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;0;0;1;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;2;5;1;1;20;2,00;1,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;2;5
50736365;7;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;3;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;3;2;3;1;20;2,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;4;5
50118830;3;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;2;3;7;2;20;2,00;1,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;4;3
50519527;2;1;5;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;8;2;19;1,00;3,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;4;5
50789067;5;1;3;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;5;4;8;2;19;1,00;5,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;2;5
50796712;7;1;2;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;3;4;8;2;19;1,00;1,00;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;4;5
50087133;5;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;9;2;19;1,00;5,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;2;4
50229856;2;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;4;3;10;2;19;1,00;5,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;3;4
50257203;8;1;1;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;99999;1;0;0;1;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;1;3;1;19;1,00;7,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;3;2
50466190;4;1;1;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;0;1;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;4;3;6;2;19;1,00;7,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;3;2
50421410;5;1;20;4;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;1;0;0;0;0;0;0;0;0;1;0;99999;5;5;5;8;2;18;1,00;1,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;3;5
50097897;2;1;12;4;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;6;4;3;1;18;1,00;1,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;2;4
50988352;7;1;6;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;5;6;1;18;1,00;7,00;99999;99999;99999;1;99999;99999;99999;99999;99999;99999;9;5
50736005;4;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99999;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;1;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;2;3;6;1;16;1,00;1,00;99999;99999;99999;1;99999;99999;99999;99999;99999;99999;8;5
50255562;3;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;99999;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;99999;0;1;0;0;0;0;0;0;0;0;1;0;99999;4;2;3;6;2;16;1,00;3,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;2;5
50143551;5;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;0;0;99999;0;1;0;0;0;0;0;0;0;0;0;1;99999;4;4;4;5;1;16;1,00;7,00;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;2;5
50533483;7;1;3;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99999;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;99999;0;0;0;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;5;3;4;2;70;5,00;8,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;4
50159637;3;1;3;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;99999;0;1;0;0;1;0;0;0;0;0;0;0;99999;4;4;4;8;1;64;4,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;5
50456812;2;1;2;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;1;0;0;0;0;0;0;0;0;1;0;99999;5;5;5;6;1;63;4,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;4
50512192;4;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;0;0;99999;0;1;0;0;0;0;0;0;0;0;1;0;99999;4;4;4;10;1;61;4,00;4,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;8;2
50620919;4;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;99999;5;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;0;99999;0;1;0;0;0;0;1;0;0;0;0;0;99999;5;5;5;10;1;61;4,00;6,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;8;1
50455175;2;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;0;1;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;5;4;8;2;58;4,00;1,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;5
50625409;2;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;99999;4;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;0;0;99999;0;0;1;0;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;4;4;4;1;56;4,00;4,00;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;5
